t_s,a_code,b_code,c,d
0.00866,115,112,0,0
0.00867,115,112,0,0
0.00868,115,111,0,0
0.00869,115,112,0,0
0.0087,115,111,0,0
0.00871,115,112,0,0
0.00872,115,112,0,0
0.00873,115,112,0,0
0.00874,115,112,0,0
0.00875,115,112,0,0
0.00876,115,112,0,0
0.00877,115,112,0,0
0.00878,115,112,0,0
0.00879,115,112,0,0
0.0088,115,112,0,0
0.00881,115,111,0,0
0.00882,115,112,0,0
0.00883,115,112,0,0
0.00884,115,112,0,0
0.00885,115,111,0,0
0.00886,115,112,0,0
0.00887,115,112,0,0
0.00888,115,112,0,0
0.00889,115,111,0,0
0.0089,115,112,0,0
0.00891,115,111,0,0
0.00892,115,111,0,0
0.00893,115,112,0,0
0.00894,115,111,0,0
0.00895,115,112,0,0
0.00896,115,112,0,0
0.00897,115,112,0,0
0.00898,115,111,0,0
0.00899,115,112,0,0
0.009,180,112,0,0
0.00901,180,112,0,0
0.00902,180,112,0,0
0.00903,180,112,0,0
0.00904,180,111,0,0
0.00905,179,112,0,0
0.00906,180,112,0,0
0.00907,180,112,0,0
